Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Rings of Saturn	TOPS		Tender Opposites		Alternative	8217951	231	1	1	8	10	2012	11/8/14, 1:34 PM	11/8/14, 1:34 PM	256	44100		Purchased AAC audio file								nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:TOPS:Tender Opposites:08 Rings of Saturn.m4a
Way to be Loved	TOPS		Picture You Staring		Indie Rock	8759080	263	1	1	1	12	2014	10/30/14, 11:42 PM	10/30/14, 11:41 PM	256	44100		AAC audio file								nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:TOPS:Picture You Staring:01 Way to be Loved.m4a
Change of Heart	TOPS		Picture You Staring		Indie Rock	7965951	239	1	1	9	12	2014	10/30/14, 11:46 PM	10/30/14, 11:46 PM	256	44100		AAC audio file								nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:TOPS:Picture You Staring:09 Change of Heart.m4a
Strobe (Club Edit)	deadmau5		Strobe		Dance	13134250	379	1	1	2	6	2010	8/25/14, 1:04 PM	2/17/13, 3:48 PM	256	44100		Purchased AAC audio file			25	5/20/14, 9:38 AM	7	9/17/14, 9:35 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Deadmau5:Strobe:02 Strobe (Club Edit).m4a
Your Ex-Lover Is Dead	Stars		Set Yourself On Fire		Alternative	8821338	256	1	1	1	13	2004	6/5/14, 10:03 AM	6/28/08, 12:11 PM	256	44100		Purchased AAC audio file			88	5/20/14, 9:42 AM	109	9/17/14, 9:58 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Stars:Set Yourself On Fire:01 Your Ex-Lover Is Dead.m4a
Let the Drummer Kick	Citizen Cope	Clarence Greenwood	Citizen Cope		Rock	8944217	257	1	1	4	14	2002	5/22/14, 9:57 AM	1/16/11, 7:10 PM	256	44100		Purchased AAC audio file			80	5/20/14, 9:46 AM	3	9/3/14, 9:57 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Citizen Cope:Citizen Cope:04 Let the Drummer Kick.m4a
Life In the Rain	Quantic		The 5th Exotic		Electronic	13579722	393	1	1	5	12	2001	5/17/14, 3:43 PM	2/10/13, 12:04 PM	256	44100		Purchased AAC audio file			36	9/18/14, 2:10 PM	4	9/3/14, 9:57 AM	40	nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Quantic:The 5th Exotic:05 Life In the Rain.m4a
1940 (AmpLive Remix)	The Submarines		Honeysuckle Remixes		Pop	6812271	194	1	1	1	9	2010	9/3/14, 10:06 AM	9/10/13, 8:47 PM	256	44100		Purchased AAC audio file			27	9/18/14, 2:13 PM	4	9/3/14, 10:06 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:The Submarines:Honeysuckle Remixes:01 1940 (AmpLive Remix).m4a
Wolf Like Me	TV on the Radio	Tunde Adebimpe, Jaleel Bunton, Kyp Malone, David Sitek & Gerald Smith	Return to Cookie Mountain		Rock	9777826	279	1	1	5	15	2006	10/20/14, 1:02 PM	3/4/09, 1:03 PM	256	44100		Purchased AAC audio file			153	9/4/14, 1:43 PM	2	9/18/14, 2:14 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:TV On the Radio:Return to Cookie Mountain:05 Wolf Like Me.m4a
Purple Yellow Red and Blue	Portugal. The Man		Evil Friends		Alternative	8918584	251	1	1	11	12	2013	5/17/14, 2:17 PM	3/2/14, 1:14 PM	256	44100		Purchased AAC audio file			15	9/4/14, 1:47 PM	5	9/18/14, 2:14 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Portugal. The Man:Evil Friends:11 Purple Yellow Red and Blue.m4a
